variable,type,var,tab_1,f_1,f_2,f_3,f_4,metric,export_1
new_nloy_kc_dcp_final,1,Discount Cherry Picker,Sales,New Customer,Non Loyalist,Kohl's Charge,Discount Cherry Picker,m_1,Discount Cherry Picker_New Customer_Non Loyalist_Kohl's Charge_Final
new_nloy_kc_fsloy_final,1,Kohl's Full Store Loyalist,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_1,Kohl's Full Store Loyalist_New Customer_Non Loyalist_Kohl's Charge_Final
new_nloy_kc_iseth_final,1,Kohl's In-Store Enthusiast,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_1,Kohl's In-Store Enthusiast_New Customer_Non Loyalist_Kohl's Charge_Final
new_nloy_kc_kids_final,1,Kohl's Kids,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's Kids,m_1,Kohl's Kids_New Customer_Non Loyalist_Kohl's Charge_Final
new_nloy_kc_mens_final,1,Kohl's Mens,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's Mens,m_1,Kohl's Mens_New Customer_Non Loyalist_Kohl's Charge_Final
new_nloy_kc_oleth_final,1,Kohl's Online Enthusiast,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_1,Kohl's Online Enthusiast_New Customer_Non Loyalist_Kohl's Charge_Final
new_nloy_kc_missex_final,1,Misses Exclusive,Sales,New Customer,Non Loyalist,Kohl's Charge,Misses Exclusive,m_1,Misses Exclusive_New Customer_Non Loyalist_Kohl's Charge_Final
new_nloy_kc_ocbb_final,1,Occasional Big Basket,Sales,New Customer,Non Loyalist,Kohl's Charge,Occasional Big Basket,m_1,Occasional Big Basket_New Customer_Non Loyalist_Kohl's Charge_Final
new_nloy_kc_odis_final,1,One and Done In-Store,Sales,New Customer,Non Loyalist,Kohl's Charge,One and Done In-Store,m_1,One and Done In-Store_New Customer_Non Loyalist_Kohl's Charge_Final
new_nloy_kc_odol_final,1,One and Done Online,Sales,New Customer,Non Loyalist,Kohl's Charge,One and Done Online,m_1,One and Done Online_New Customer_Non Loyalist_Kohl's Charge_Final
